Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-10-24_09:25, 23.25, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:26, 23.3125, 413, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:26, 23.375, 413, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:26, 23.5, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:26, 23.3125, 413, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:27, 23.375, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:27, 23.5, 407, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:27, 23.4375, 414, 2, 0, 4.352, None, None, None, None, None
2018-10-24_09:28, 23.375, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:28, 23.375, 405, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:28, 23.5, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:29, 23.5, 408, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:29, 23.5, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:29, 23.3125, 406, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:29, 23.375, 402, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:30, 23.5, 407, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:30, 23.5, 402, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:30, 23.5, 402, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:31, 23.5625, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:31, 23.5625, 406, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:31, 23.3125, 413, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:31, 23.3125, 410, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:32, 23.5, 402, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:32, 23.5, 408, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:32, 23.5, 401, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:33, 23.5, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:33, 23.5625, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:33, 23.5, 405, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:34, 23.5, 410, 1, 0, 4.352, None, None, None, None, None
2018-10-24_09:34, 23.4375, 415, 2, 0, 4.352, None, None, None, None, None
2018-10-24_09:34, 23.5, 405, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:34, 23.5, 401, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:35, 23.5, 403, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:35, 23.625, 421, 3, 0, 4.352, None, None, None, None, None
2018-10-24_09:35, 23.5, 418, 2, 0, 4.352, None, None, None, None, None
2018-10-24_09:36, 23.4375, 423, 3, 0, 4.352, None, None, None, None, None
2018-10-24_09:36, 23.375, 409, 1, 0, 4.352, None, None, None, None, None
