Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-10-24_13:29, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:07, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:07, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:07, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:08, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:08, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:08, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:08, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:09, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:09, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:09, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:09, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:10, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:10, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:11, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:11, 22.1875, None, None, 1.728, None, None, None, None, None, None
2018-10-24_18:11, 22.25, None, None, 0.576, None, None, None, None, None, None
2018-10-24_18:11, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:12, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:12, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:12, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:12, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:13, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:13, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:13, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:14, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:14, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:14, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:15, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:15, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:15, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:15, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:16, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:16, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:16, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:17, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:17, 22.125, None, None, 0.576, None, None, None, None, None, None
2018-10-24_18:17, 22.125, None, None, 1.44, None, None, None, None, None, None
2018-10-24_18:18, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:18, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:18, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:18, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:19, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:19, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:20, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:20, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:20, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:21, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:21, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:21, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:21, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:22, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:22, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:22, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:23, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:23, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:23, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:23, 22.1875, None, None, 1.728, None, None, None, None, None, None
2018-10-24_18:24, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:24, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:24, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:25, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:25, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:25, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:25, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:26, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:26, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:26, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:27, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:27, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:27, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:27, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:28, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:28, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:28, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:29, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:29, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:29, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:30, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:30, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:30, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:30, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:31, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:32, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:33, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:34, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:35, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:35, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:35, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:35, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:35, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:36, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:36, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:36, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:37, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:37, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:37, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:37, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:38, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:38, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:38, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:38, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:39, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:39, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:40, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:40, 22.0, None, None, 0, None, None, None, None, None, None
2018-10-24_18:40, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:40, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:41, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:41, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:41, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:41, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:42, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:42, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:42, 22.0, None, None, 0, None, None, None, None, None, None
2018-10-24_18:43, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:43, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:43, 22.0, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.1875, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:44, 22.0625, None, None, 0, None, None, None, None, None, None
2018-10-24_18:47, 20.25, None, None, 0, None, None, None, None, None, None
2018-10-24_18:47, 20.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:47, 20.1875, None, None, 0, None, None, None, None, None, None
2018-10-28_13:33, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:33, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:34, 20.4375, None, None, 0, None, None, None, None, None, None
